Main Category,Sub-Category,Constraint,Max Qty,Total SKUs,Has Rules,Rule Count
Energy Star,Energy Star,max 1,1,1,No,0
Processor,Processor,max 2,2,32,No,0
Processor,Heatsink Kit,max 2,2,6,Yes,1
Memory,Memory,max 32,32,3,Yes,1
Memory,Memory Blank Kit,max 1,1,2,Yes,1
Smart Chassis,Top Selling Smart Chassis Combinations,no max,Unlimited,2,Yes,2
Smart Chassis,Drive Cage,max 9,9,10,Yes,1
Smart Chassis,Riser Cards (required),max 3,3,4,No,0
Smart Chassis,Riser Accessories,max 6,6,3,No,0
Smart Chassis,SAS Controller,max 5,5,13,Yes,2
Smart Chassis,Smart Chassis Configuration,required,Required,1,Yes,1
Ambient Temperature,AmbientTemperature,required,Required,19,Yes,1
Storage Devices,Smart Storage Battery,max 2,2,5,Yes,1
Storage Devices,Internal Storage Controller Cables,max 3,3,31,Yes,1
Storage Devices,RAID Settings,max 1,1,6,No,0
Storage Devices,Optical Drive,max 1,1,3,Yes,1
Storage Devices,Optical Drive Accessories,max 2,2,1,No,0
Security Options,Security Hardware,max 3,3,4,No,0
Factory Configuration Settings,Factory Configuration Settings,max 1,1,7,Yes,1
Factory Configuration Settings,Trusted Supply Chain,max 1,1,4,Yes,1
Factory Configuration Settings,Drive Configuration Settings,max 1,1,5,Yes,1
Factory Configuration Settings,Complex Configuration,max 1,1,3,No,0
Factory Configuration Settings,Identifier/Tracking SKUs,max 1,1,2,Yes,1
Factory Configuration Settings,vSAN Tracking SKUs,max 1,1,5,Yes,2
Factory Configuration Settings,iLO Common Password,max 1,1,1,No,0
Networking,Ethernet PCIe,max 5,5,15,No,0
Networking,InfiniBand PCIe,max 3,3,12,No,0
Networking,Transceivers,max 16,16,20,Yes,1
Networking,Fibre Channel HBA,max 3,3,7,No,0
Networking,OCP Ethernet,max 2,2,11,No,0
Networking,Fibre Channel Cables and SFP,max 1,1,0,No,0
Networking,Upgrades,max 2,2,6,No,0
Networking,Management Hardware,max 1,1,1,No,0
Networking,Memory Setting,max 1,1,2,Yes,1
OS Boot Device,OS Boot Device,max 3,3,6,No,0
Manufacturing Services,Manufacturing Services,max 3,3,4,Yes,1
Rack Options,Rack Options,max 3,3,9,Yes,1
Graphics Options,Graphics,max 5,5,5,No,0
Graphics Options,Graphics Accessories,max 3,3,3,No,0
Power Supplies,Power Supplies,max 2,2,1,No,0
Power Supplies,Power Cooling Options,max 3,3,5,No,0
Accessories,Power Cords,max 2,2,4,Yes,1
AI-at-Scale,AI-at-Scale,no max,Unlimited,24,Yes,1
HPC Software Products,HPC Software Products,no max,Unlimited,138,No,0
HPC Software Products,High Availability Computing - Cluster Software,no max,Unlimited,30,Yes,2
HPC Software Products,Partner Software - Interconnect Management Array,no max,Unlimited,4,Yes,1
HPC Software Products,NVIDIA GPU SW,no max,Unlimited,60,No,0
HPC Software Products,Partner Software - Operating System,no max,Unlimited,51,Yes,2
HPE Compute Ops Management,Compute Ops Management SKUs (required),max 1,1,8,Yes,1
HPE Compute Ops Management,Compute Ops Management Enablement SKUs,max 1,1,3,Yes,1
OEM Software,OEM Software,no max,Unlimited,7,No,0
ProLiant Media Kits and License,Proliant Software Media Kits,no max,Unlimited,2,No,0
ProLiant Media Kits and License,Red Hat (add-ons),no max,Unlimited,18,No,0
ProLiant Media Kits and License,SUSE Add-ons,no max,Unlimited,1,No,0
Server Management Software,iLO,no max,Unlimited,4,No,0
Server Management Software,OneView Management Software,max 1,1,5,No,0
SGI Software,Data Management Framework (SGI DMF),no max,Unlimited,24,No,0
Hybrid RAID,INTEL VROC Products,max 1,1,4,No,0
Supported Operating System,Supported Operating System,no max,Unlimited,72,No,0
Supported Operating System,MS Windows Server,no max,Unlimited,64,No,0
Supported Operating System,Red Hat OpenShift Platform Container,no max,Unlimited,13,No,0
Supported Operating System,Resale Option Kit,no max,Unlimited,34,No,0
Supported Operating System,SUSE containers,no max,Unlimited,3,No,0
Supported Operating System,SUSE Linux Enterprise Server,no max,Unlimited,42,No,0
Supported OS License Pack,Microsoft Windows CAL Packs,no max,Unlimited,30,No,0
Virtualization,HPE Virtualization,no max,Unlimited,3,No,0
Virtualization,Red Hat Enterprise Linux Server-Virtualization,no max,Unlimited,20,No,0
Virtualization,VMware vCloud Products,no max,Unlimited,3,Yes,1
